id,userName,title,artist,genre,year,listenedQty
1295,Nicoli Adore,Ulan Bator,Jemie Halla,barbadian pop,2014,36
1296,Pollyanna Winnick,Perm,Kimmy Hunfredo,boy band,2013,36
1297,Hannis Sherfield,Glasgow,Hollie Ventre,electropop,2016,36
1298,Elise Joni,Portland,Malina Haerr,big room,2021,36
1299,Jessy Longfellow,Chuí,Marcy Martguerita,pop,2000,36
1300,Felice Llovera,Cali,Hallie Wildermuth,art pop,2007,36
1301,Carolina Verger,Ndola,Leanna Dominy,british soul,2022,36
1302,Ada Dielu,Stepanakert,Maye Talia,hip pop,2011,36
1303,Margarette Ursulette,Nairobi,Elsie Carvey,electropop,2017,36
1304,Mariele Joseph,Kraków,Molli Casimir,edm,2002,37
1305,Emma Norvol,Valletta,Marinna Therine,british soul,2009,37
1306,Elbertina Ashely,Xining,Lenna Adlare,dance pop,2015,37
1307,Tani Peti,Leipzig,Addia Egbert,barbadian pop,2009,37
1308,Carmela Ramona,Panama City,Florie Cynar,canadian pop,2012,37
1309,Melisent Philoo,Riga,Michaelina Ruvolo,electropop,2006,37
1310,Fred Rheingold,Milan,Jsandye MacIntosh,edm,2020,37
1311,Teddie Milson,Thiès,Valeda Fulmer,edm,2005,37
1312,Brietta Klotz,Geelong,Jacquetta Wesle,latin,2002,37
1313,Camile Yam,Hanga Roa,Gavrielle Newell,british soul,2010,37
1314,Perry Arvo,Valletta,Helsa Juliet,hip pop,2009,38
1315,Beatriz Pyle,Gaziantep,Concettina Friede,canadian contemporary r&b,2005,38
1316,Arabel Dreda,Sapporo,Desirae Billye,dance pop,2012,38
1317,Mellicent Maxi,Port-au-Prince,Marcelline Lutero,pop,2011,38
1318,Kathi Fleeta,Kandy,Estell Mathilde,big room,2021,38
1319,Kayla Imelida,Chisinau,Bettine McAdams,boy band,2019,38
1320,Tonia Jorgan,Jacksonville,Pearline Llovera,canadian pop,2018,38
1321,Liana Nance,Kingston,Sonni Calhoun,edm,2017,38
1322,Jenilee Erminia,Istanbul,Marika Imelida,neo mellow,2019,38
1323,Blondelle Kauppi,Tripoli,Peri Aloise,barbadian pop,2008,38
1324,Mallory Khorma,Auckland,Shaylyn Manolo,barbadian pop,2007,38
1325,Carolina Pyle,Wonsan,Chickie Ochs,latin,2013,38
1326,Katharina Baudin,Pretoria,Dolli Stefa,pop,2020,38
1327,Barbi Stilwell,Fort-de-France,Ida Armanda,neo mellow,1999,39
1328,Albertina Shaddock,Yekaterinburg,Genevra Greenwald,boy band,2003,39
1329,Jolyn Hortensia,Taichung,Yvonne Mott,latin,1999,39
1330,Nelle Kussell,Murmansk,Georgetta Odell,british soul,2021,39
1331,Florie Bakerman,Kinshasa,Rubie Emerson,boy band,2016,39
1332,Joceline Blake,Xi'an,Leona Colp,barbadian pop,2000,39
1333,Quintina Monk,Qingdao,Giustina Brandice,big room,2014,39
1334,Jasmina Martguerita,Moscow,Ardenia Joni,hip pop,2012,39
1335,Penelopa Blake,Bratislava,Genovera Gordon,canadian pop,2002,39
1336,Zaria Lalitta,Denver,Odessa Ethban,art pop,2007,39
1337,Stephanie Myrilla,Melbourne,Letizia Roscoe,canadian contemporary r&b,2018,39
1338,Molli Torray,Luxembourg (city),Lanna Maisey,canadian contemporary r&b,2006,39
1339,Asia Lemuela,Frankfurt,Marsiella Marisa,art pop,2013,39
1340,Elise Diogenes,Thessaloniki,Aimil Merna,dance pop,2020,39
1341,Aimil Fairweather,Raleigh,Adelle Rillings,dance pop,2006,40
1342,Elfreda Saint,Tampa,Sharai Sherfield,art pop,2014,40
1343,Lenna Lemuela,Seville,Morganica Millda,edm,2011,40
1344,Lorie Bryna,Harare,Shandie Pandolfi,big room,2010,40
1345,June Ovid,Ponta Delgada,Zia Brunell,big room,2013,40
1346,Deedee Rogerio,Zagreb,Paule Miru,dance pop,2016,40
1347,Ivett Noelyn,Rochester,Kassey Kamaria,hip pop,1999,40
1348,Betta Tomasina,St. Louis,Isa Loring,dance pop,2011,40
1349,Ottilie Azeria,Hamilton,Lila Dichy,neo mellow,2011,40
1350,Lisette Alisia,Ipoh,Gui Frodi,latin,2017,40
1351,Chere Edmund,Abuja,Felice Hanshaw,big room,2005,40
1352,Ronna Armanda,Punta Arenas,Elise Celestine,barbadian pop,2010,40
1353,Dorene Curren,Podgorica,Renie Hortensia,canadian contemporary r&b,2016,40
1354,Constance Han,Newcastle,Coral Aida,big room,2006,40
1355,Audrie Nadia,Enugu,Belva Roche,dance pop,2001,40
1356,Felice Keily,Fukuoka,Linzy Medrek,edm,2002,40
1357,Amelia Berne,Tartu,Maridel Bultman,electropop,2019,41
1358,Sissy Nedrud,Porto Alegre,Shaine Autrey,canadian contemporary r&b,2022,41
1359,Daryl Avi,Bratsk,Amii Halla,boy band,2000,41
1360,Marnia Schalles,Khartoum,Jacquetta Bevin,electropop,2005,41
1361,Tressa Tamsky,Suez,Ileana Bahr,latin,2011,41
1362,Morganica Dielu,Kinshasa,Devina Ahab,neo mellow,2007,41
1363,Tamqrah Lilybelle,Brasília,Tybie Ledah,canadian pop,2018,41
1364,Annaliese Gwenore,Medellín,Melanie Ciro,big room,2000,41
1365,Chandra Tayib,Zamboanga City,Kimberley Bendick,barbadian pop,2014,41
1366,Carol-Jean Hirsch,Rio de Janeiro,Nelle Virgin,neo mellow,2002,41
1367,Suzette Dyche,Moscow,Maisey Whiffen,boy band,2005,41
1368,Clo Adrienne,Macau,Sandie Ulphia,pop,2004,41
1369,Brandise Zeeba,Omsk,Misha Melleta,boy band,2019,41
1370,Aigneis Wooster,Arequipa,Marcelline Shuler,canadian contemporary r&b,2019,41
1371,Laurene Toor,Cuiabá,Mellicent Zachary,boy band,2006,41
1372,Belva Honoria,Changchun,Reeba Si,edm,2019,41
1373,Tamqrah Salvidor,Yogyakarta (city),Dorice Gherardo,pop,2007,41
1374,Jorry Harl,Mashhad,Aubrie Bandeen,art pop,2001,41
1375,Alleen Tristram,Rotterdam,Vevay Damarra,edm,2016,41
1376,Clarice Macey,São Tomé,Leontine Modie,art pop,2014,41
1377,Basia Timon,Sri Jayawardenapura-Kotte,Charmaine Weitman,dance pop,2018,41
1378,Arlena Gabrielli,Naypyidaw,Rosene Tarrant,dance pop,2008,41
1379,Ericka Annice,Lubumbashi,Augustine Mullane,big room,2019,41
1380,Myrtice Loring,San Francisco,Dyann Schenck,canadian contemporary r&b,2001,42
1381,Chere Grayce,Dodoma,Anestassia Palocz,big room,2008,42
1382,Mellicent Sperling,Da Nang,Florie Earlie,latin,2013,42
1383,Deane Felizio,Dakar,Ricky Avi,edm,2011,42
1384,Queenie Shelba,Leipzig,Sandie Moseley,british soul,2021,42
1385,Valli Aldric,Bucharest,Laurene Regan,dance pop,2011,42
1386,Mellicent Hazlett,Mersin,Louella Manolo,barbadian pop,2016,42
1387,Dari Regan,Faisalabad,Olivette Jena,latin,2008,42
1388,Kittie Simmonds,Dakar,Eugine Milde,hip pop,2014,42
1389,Natka Warthman,São Tomé,Goldie Jacobah,canadian contemporary r&b,2014,42
1390,Deloria Sophronia,Montreal,Dolli Smitt,hip pop,2017,42
1391,Nita Cleo,Kharkiv,Constance Francyne,electropop,2019,42
1392,Vonny Raffo,Port Hedland,Mureil Jerold,neo mellow,2011,43
1393,Ottilie Merna,Papeete,Dede Weaks,art pop,2003,43
1394,Harmonia Buttaro,City of San Marino,Marnia Milde,canadian contemporary r&b,2021,43
1395,Asia Margret,San Antonio,Jaime Pozzy,hip pop,2021,43
1396,Sonni Salvidor,Malabo,Jorry Even,barbadian pop,2016,43
1397,Dale Eachern,Omsk,Valera Louanna,canadian contemporary r&b,2000,43
1398,Kial Valerio,San José,Wilma Dex,british soul,2016,43
1399,Isa Gordon,Pontianak,Korrie Firmin,british soul,2021,43
1400,Arlina Hashim,Wellington,Feliza Alrich,pop,2004,43
1401,Carree Lymann,Chisinau,Mathilda Dituri,canadian pop,2015,43
1402,Beatriz Ade,Nouakchott,Roberta Clie,pop,2000,44
1403,Kenna Vorster,Tokyo,Regina Taam,hip pop,2011,44
1404,Addia Junie,Pelotas,Nananne Tamsky,electropop,1999,44
1405,Ivett Radu,Pretoria,Danny Liva,electropop,2012,44
1406,Starla Gunn,Rio de Janeiro,Susan Stilwell,british soul,2022,44
1407,Konstance Adlare,Kansas City,Sean Magnolia,canadian contemporary r&b,2013,44
1408,Genovera Carolin,Bujumbura,Melina Ellord,edm,2021,44
1409,Gianina Whiffen,Turin,Kassey Lymann,big room,2020,44
1410,Henriette Corabella,Livingstone,Tamqrah Monaco,canadian contemporary r&b,2018,44
1411,Wileen Ciapas,Cologne,Aeriela Liva,dance pop,2019,44
1412,Paulita Roumell,Rosario,Mariann Swanhildas,big room,2004,44
1413,Kaia Pip,St. George's,Oona Darrell,electropop,2021,44
1414,Clary Anis,Berlin,Brena Laverne,british soul,2010,44
1415,Lacie Malina,Ilhéus,Aigneis Klotz,dance pop,2018,44
1416,Constance Jagir,Adamstown,Hyacinthe Bobbee,edm,2012,44
1417,Peri Nerita,Funafuti,Orelia Constancy,big room,2014,44
1418,Cordi Eckblad,Baku,Cherilyn Bearnard,british soul,2021,44
1419,Phylis Minetta,Ürümqi,Clarice Lasley,big room,2006,44
1420,Lory Hylan,São José dos Campos,Eve Llovera,dance pop,2014,44
1421,Betta Taima,Townsville,Fanny Gwenore,neo mellow,2002,44
1422,Jackie Berl,Wollongong,Yolane Wenda,canadian contemporary r&b,2002,44
1423,Kirbee Jacobah,Columbus,Edith Marden,boy band,2021,44
1424,Rozele Leffen,San Fernando,Caressa Buffum,barbadian pop,2010,45
1425,Alia Gerge,Graz,Harrietta Penelopa,dance pop,2002,45
1426,Andree Hanleigh,Handan,Kimberley Ludewig,dance pop,2003,45
1427,Mady Lauraine,Mexicali,Leanna Justinn,big room,2014,45
1428,Myrtice Hazlett,New Delhi,Lanna Janene,canadian contemporary r&b,2017,45
1429,Tami Chandler,Tartu,Brooks Roxanna,barbadian pop,2008,45
1430,Barbara Dudley,Berlin,Emmey Evangelia,canadian contemporary r&b,2009,45
1431,Agathe Ariella,Belfast,Elka Elephus,boy band,2021,45
1432,Elbertina Love,Monterrey,Celestyna Hilbert,latin,2010,45
1433,Althea Maurine,Puebla,Fidelia Alcott,canadian pop,2012,45
1434,Myriam Raseda,Lyon,Tami Hilbert,dance pop,2016,45
1435,Tersina Hailee,Ürümqi,Valeda Raseda,dance pop,2002,45
1436,Genovera Killigrew,Aarhus,Gerrie Dulciana,latin,2010,46
1437,Corina Merell,Ankara,Ofilia Merna,hip pop,2012,46
1438,Ebonee Concha,Leeds,Starla Ader,dance pop,2000,46
1439,Trudie Korey,Riyadh,Darlleen Mintz,barbadian pop,2005,46
1440,Jessy Gino,Fortaleza,Rivalee Dalli,dance pop,2005,46
1441,Giustina Oneida,Kiev,Rosene Travax,pop,2003,46
1442,Gretal Talia,Maputo,Micheline Dom,boy band,2016,46
1443,Anallese Toni,Sana'a,Elora Milson,barbadian pop,2003,46
1444,Mildrid Vins,Roseau,Jacquetta Garlinda,boy band,2010,46
1445,Lynea Carri,Cardiff,Hollie Pelagias,british soul,2018,46
1446,Amalie Hieronymus,Madrid,Christal Maples,latin,2020,46
1447,Lexine Stelle,Oslo,Lily Lubin,canadian contemporary r&b,2009,46
1448,Chloris Stefa,Tirana,Maud Naashom,canadian contemporary r&b,2021,46
1449,Annice Ader,Dili,Constance Colyer,canadian pop,2013,46
1450,Ermengarde Dichy,Atlanta,Kamilah Genna,latin,2014,46
1451,Annecorinne Joachim,Da Nang,Lila Selway,boy band,2010,46
1452,Audrie Maisey,Francistown,Allyce Trinetta,dance pop,2008,46
1453,Stevana Cordi,Lisbon,Nanete Revkah,neo mellow,2003,46
1454,Sybille Friede,Pretoria,Laure Kazimir,boy band,2009,47
1455,Goldie Corrine,Bogor,Magdalena Modie,big room,2011,47
1456,Brietta Dyche,El Aaiún,Etta Palocz,dance pop,2016,47
1457,Imojean Claudine,Nairobi,Vonny Kannry,canadian pop,2021,47
1458,Fanny Liva,Freetown,Carol-Jean Maurine,big room,2010,47
1459,Thalia Peg,Tunis,Taffy Buckler,art pop,2015,47
1460,Rosaline Baylor,Kuching,Sheree Raffo,boy band,2009,47
1461,Patricia Lemuela,Yerevan,Tarra Grayce,british soul,2011,47
1462,Cissiee Hunfredo,Cotonou,Nanete Jillane,neo mellow,2004,47
1463,Gale Hedve,Nouakchott,Andree Ehrman,edm,2022,48
1464,Gilda Croix,Zagreb,Evita Wenoa,edm,2008,48
1465,Doralynne Dawkins,Tallinn,Bobbi Trinetta,big room,2008,48
1466,Ruthe Esmaria,Shenzhen,Ashlee Peti,dance pop,2000,48
1467,Willetta Cath,Tbilisi,Etta Karylin,dance pop,2014,48
1468,Kassey Eno,Gaborone,Lorenza Marcellus,canadian contemporary r&b,2020,48
1469,Lindie Hamil,Baltimore,Wileen Eugenia,neo mellow,2017,48
1470,Sibella Oster,Kuala Lumpur,Bernardine Lail,pop,2012,48
1471,Kathy Mehalek,Honolulu,Kirbee Vharat,boy band,2009,48
1472,Janeczka Brieta,Malang,Alameda Publia,hip pop,2013,48
1473,Anthia Bryna,Malabo,Ethel Engdahl,canadian pop,2005,48
1474,Lexine Madox,Khartoum,June Chick,latin,2001,48
1475,Carolina Kirstin,Zanzibar City,Tina Rudolph,latin,2018,48
1476,Mathilda Rese,Milwaukee,Joy Honoria,dance pop,2009,48
1477,Sashenka Izaak,Oranjestad,Carlie Halla,electropop,2016,48
1478,Stephanie Hunfredo,Bandung,Jessy Sparhawk,canadian contemporary r&b,2004,48
1479,Zia Ethban,Tegucigalpa,Karlee Thunell,boy band,2017,48
1480,Lisette Arathorn,Budapest,Fayre Celestine,dance pop,2002,48
1481,Marguerite Stefa,Ibadan,Ermengarde Lea,canadian contemporary r&b,2014,48
1482,Shirlee Whittaker,San Antonio,Gratia Eugenia,latin,2001,48
1483,Danny Vins,Yangon,Sam Hachmin,edm,2015,48
1484,Annabela Seligman,The Hague,Beverley Goddard,hip pop,2002,49
1485,Elie Friede,Multan,Kassey Janene,neo mellow,2011,49
1486,Tina Bouchard,Minneapolis,Marita Baylor,canadian pop,2004,49
1487,Lilith Dunkin,Manama,Thalia Carbo,british soul,2012,49
1488,Jeanna Chinua,Kanpur,Christal Zitvaa,dance pop,2004,49
1489,Justinn Tamar,Thessaloniki,Audrie Pozzy,art pop,2009,49
1490,Danika Anis,Gold Coast,Daune Dawkins,barbadian pop,2017,49
1491,Katharina Pernick,Mendoza,Jean Hathaway,pop,2020,49
1492,Lolita Claudine,Bloemfontein,Gretal Libna,big room,2006,49
1493,Deedee Reidar,Melekeok,Gabriellia Ehrman,dance pop,2019,49
1494,Alejandra Toni,Port Moresby,Annecorinne Erminia,british soul,2022,49
1495,Nannie Haldas,Shenyang,Sashenka Lytton,dance pop,2012,49
1496,Nanete Sammons,Medellín,Dotty Ralfston,latin,2011,49
1497,Juliane Joachim,Fortaleza,Amelia Ax,boy band,2011,49
1498,Gusty Gerge,Canberra,Viki Tryck,canadian pop,2011,49
1499,Glenda Mullane,Guwahati,Althea Olympium,dance pop,2016,49
1500,Kirbee Annice,Nassau,Miquela Dahlia,electropop,2009,49
1501,Valeda Mauer,Kota Kinabalu,Ida Edee,british soul,1999,49
1502,Adriana Maryanne,Muscat,Amara Ax,edm,2022,49
1503,Gale Corabella,Guadalajara,Ronna Weide,dance pop,2019,49
1504,Pollyanna Autrey,Sri Jayawardenapura-Kotte,Ingrid Dorcy,boy band,2008,49
1505,Clo Barrus,Kinshasa,Cam Donoghue,art pop,2007,49
1506,Winifred O'Neill,St. John's,Lexine Hamil,art pop,2002,49
1507,Annaliese Brandice,Córdoba,Noelle Dowski,electropop,2007,49
1508,Kristan Lowry,Rotterdam,Pollyanna Nester,dance pop,2019,50
1509,Aurelie Winnick,Davao City,Christian Creamer,pop,2015,50
1510,Rosene Carlson,Bloemfontein,Kerrin Atcliffe,dance pop,2020,50
1511,Leia Fry,Makati City,Tomasina Eliathas,canadian contemporary r&b,2000,50
1512,Karlee Thad,Sacramento,Leeanne Clarissa,boy band,2009,50
1513,Meghann Henrie,Santo Domingo,Catharine Blake,edm,2008,50
1514,Hayley Berl,Astana,Babita Gordon,art pop,2000,50
1515,Courtnay Daveta,Yakutsk,Tybie Aprile,latin,2013,50
1516,Shel Shelba,New Delhi,Selia Eno,dance pop,2020,50
1517,Ofilia Melleta,Shigatse,Larine Hourigan,canadian contemporary r&b,2009,50
1518,Vinita Granoff,Oslo,Theodora Blake,art pop,2009,50
1519,Allyce Grobe,Dar es Salaam,Gisela Stelle,boy band,2016,50
1520,Angelique Vernier,Suva,Alleen Berl,neo mellow,2015,50
1521,Cyndie Erskine,Santo Domingo,Florie Zeeba,dance pop,2001,50
1522,Nessie Emmy,El Paso,Nicoli Sacken,dance pop,2008,50
1523,Candy Romelda,Zamboanga City,Marguerite Fillbert,art pop,2021,50
1524,Beth Terencio,Malang,Leontine Valoniah,electropop,2018,50
1525,Aigneis Sharl,Dar es Salaam,Winifred Carvey,dance pop,2008,50
1526,Allis Gladstone,Nukus,Carree Kat,neo mellow,2001,50
1527,Florencia Baptlsta,Castries,Kary Gwenore,dance pop,2003,50
1528,Jerry Cornelia,Providence,Zondra Berriman,canadian contemporary r&b,2019,50
1529,Judy Wittie,New Delhi,Dawn Malina,hip pop,2016,51
1530,Nicoli Dosia,Manama,Monika Jary,hip pop,2004,51
1531,Jasmina Manolo,Santo Domingo,Vita Chauncey,neo mellow,2014,51
1532,Annaliese Hebner,San Salvador,Angela Yoko,edm,2002,51
1533,Courtnay Florina,Gothenburg,Rhoda Adamsen,edm,2005,51
1534,Clarice Delila,Istanbul,Ariela Malina,big room,2013,51
1535,Priscilla Wooster,Budapest,Letizia Briney,dance pop,1999,51
1536,Sherrie Kamaria,Maputo,Ethel Lasley,pop,2017,51
1537,Minda Tannie,Monaco,Beverley Gilbertson,canadian contemporary r&b,2008,51
1538,Lisette Alrich,Bergen,Gertrud Kaja,boy band,2017,51
1539,Theodora Han,Bratislava,Madeleine Thomasina,dance pop,2018,51
1540,Doro Matthew,Ushuaia,Emylee Buttaro,latin,2008,51
1541,Deedee Kronfeld,Durban,Priscilla Iaverne,dance pop,2022,51
1542,Valeda Erminia,Moroni,Latisha Luhe,art pop,2018,51
1543,Flo Oster,Amman,Alisha Kendrick,dance pop,1999,52
1544,Bobbi Santoro,Bissau,Alex Toor,barbadian pop,2000,52
1545,Magdalena Bultman,Koulikoro,Hyacinthe Vivle,latin,2003,52
1546,Cathyleen Merna,Tokyo,Frieda Velick,art pop,2012,52
1547,Evaleen Dimitris,Ürümqi,Aurelie Peonir,canadian pop,2010,52
1548,Andree Alcott,Quezon City,Robinia Ovid,barbadian pop,2005,52
1549,Arlina Martguerita,Geelong,Aeriela Screens,neo mellow,2010,52
1550,Katuscha Cullin,Seoul,Olivette Berne,latin,1999,52
1551,Sibella Lytton,Muscat,Binny Tamar,boy band,2013,52
1552,Kara-Lynn Ophelia,Naypyidaw,Oona Arvo,pop,2006,52
1553,Merci Longfellow,Vilnius,Liana Reneta,edm,2003,52
1554,Tobe Wattenberg,Guangzhou,Tori Shelba,art pop,2002,52
1555,Kamilah Rooney,Montevideo,Dorothy Tomasina,latin,2010,52
1556,Jolyn Wu,Durango,Amii Tybald,canadian contemporary r&b,2010,52
1557,Odessa Pearse,Cork (city),Blake Cecile,big room,2002,52
1558,Joleen Adalbert,St. John's,Ruthe Berard,dance pop,2014,52
1559,Dorene Haerr,Banda Aceh,Annice Gualtiero,pop,2020,52
1560,Bobinette Roscoe,Muscat,Ekaterina Sinegold,hip pop,2017,53
1561,Margarette Ulphia,Salzburg,Harmonia Norvol,edm,2021,53
1562,Christian Gaynor,Punta Arenas,Kaia Eiser,big room,2007,53
1563,Frieda Orlene,Wichita,Britni Zola,latin,2017,53
1564,Thalia Christine,Rockhampton,Tersina Moina,boy band,2022,53
1565,Renie Randene,Kinshasa,Gale Lemuela,latin,2003,53
1566,Emelina Elo,Shigatse,Di Adalbert,canadian contemporary r&b,2014,53
1567,Gusty Berriman,Monaco,Aurelie Shama,british soul,2001,53
1568,Marylou Wandie,Norilsk,Wynne Haldas,electropop,1999,53
1569,Cyb Secrest,Bangalore,Lexine Waite,edm,2010,53
1570,Yvonne Donoghue,Rochester,Lulita Kussell,dance pop,2014,53
1571,Lolita Belldas,Taipei,Adriana McAdams,canadian pop,2006,53
1572,Delilah Serilda,Gibraltar,Evita Fredi,latin,2014,53
1573,Gusella Maxi,San Antonio,Ivett Janith,neo mellow,2011,53
1574,Loree Gibbeon,Medellín,Marleah Ellerey,edm,2000,53
1575,Catharine Gilmour,Lhasa,Annice Darian,latin,2010,53
1576,Fawne Dawkins,Iquique,Calla Adamsen,canadian contemporary r&b,2000,53
1577,Lauryn Mintz,Wonsan,Gaylene Bevin,latin,1999,54
1578,Dorene Merriott,Valparaíso,Myriam Evvie,hip pop,2003,54
1579,Sandie Nea,Sarajevo,Paule Bakerman,edm,2001,54
1580,Rosaline Karna,Alexandria,Neila Iphlgenia,neo mellow,2016,54
1581,Dorothy Koehler,Marrakech,Julieta Rad,british soul,2014,54
1582,Edee Philoo,Tskhinvali,Meriel Lilybelle,art pop,2001,54
1583,Susette Granoff,Tampa,Ninnetta Tomasina,pop,2000,54
1584,Consuela Kravits,Nassau,Konstance Honoria,latin,2002,54
1585,Alia Clywd,Agartala,Kristina An,hip pop,2005,54
1586,Marjie Beebe,Prague,Blondelle Hollingsworth,dance pop,2000,54
1587,Nannie Serilda,Murmansk,Harmonia Sammons,latin,2008,54
1588,Noelle Roumell,Calama,Riannon Bronk,canadian pop,2009,54
1589,Ashlee Garlinda,Kota Bharu,Melodie Middleton,latin,2010,54
1590,Fanny Sallyann,Mendoza,Lita Persse,electropop,2008,54
1591,Mignon Buttaro,Jerusalem,Beverley Prober,art pop,2012,54
1592,Gabriellia Robertson,Busan,Almeta Mauer,canadian pop,2007,54
1593,Cherrita Pip,Hobart,Maye McLaughlin,british soul,2009,54
1594,Claudina Brackely,Ljubljana,Perry Ursulette,electropop,2005,54
1595,Janenna Gregrory,São José dos Campos,Harmonia Weinreb,edm,2019,54
1596,Dyann Arley,Ilhéus,Kassey Fontana,edm,2021,55
1597,Laurene Brieta,Lhasa,Kylynn Franza,barbadian pop,2007,55
1598,Belinda Swanhildas,Tokyo,Juliane Charity,british soul,2007,55
1599,Luci Sadowski,Shenzhen,Carmencita Burkle,canadian pop,2017,55
1600,Ashlee Stelle,Kano,Alejandra Eiser,barbadian pop,2010,55
1601,Zsa Zsa Barney,Roseau,Mellicent Tannie,edm,2001,55
1602,Ardeen Allina,Liverpool,Madalyn Sundin,neo mellow,2021,55
1603,Tracey Mozelle,Luxembourg (city),Marita Ferino,edm,2018,55
1604,Maridel Hull,Lanzhou,Tersina McLaughlin,dance pop,2003,55
1605,Cissiee Zina,Phuket (city),Flory Seessel,british soul,2008,55
1606,Valeda Behre,Tripoli,Georgetta Sundin,dance pop,2008,55
1607,Norine Forrer,Magadan,Sharlene Parette,art pop,2016,55
1608,Brandise Henebry,Hamilton,Rebeca Shields,british soul,2002,55
1609,Ketti Thornburg,Freetown,Maisey Beebe,boy band,1999,55
1610,Max Henebry,Odessa,Karlee Creamer,edm,2021,55
1611,Lynnea Roscoe,Quito,Ida Kylander,british soul,2006,55
1612,Dawn Carvey,Mwanza,Mary Camden,edm,2010,55
1613,Kelly Leifeste,Nantes,Mignon Kare,british soul,2009,55
1614,Sandie Gavrila,Santiago de Cuba,Marcelline Gordon,barbadian pop,2008,55
1615,Marnia Truc,Chennai,Elora Hessler,pop,2015,55
1616,Netty Pearse,Nizhny Novgorod,Zaria Dudley,hip pop,2009,56
1617,Hannis Llovera,Edmonton,Dolli Moseley,big room,2013,56
1618,Florie Dominy,Turin,Emylee Yate,canadian pop,2017,56
1619,Diena Macey,Nanning,Caressa Darrell,art pop,1999,56
1620,Gerianna Wilona,Chengdu,Zondra Syd,barbadian pop,2004,56
1621,Keelia Rossner,Gibraltar,Adelle Ummersen,big room,2022,56
1622,Jasmina Lareena,Shijiazhuang,Annabela Cleavland,barbadian pop,2006,56
1623,Sarette Merriott,Havana,Kate Seagraves,canadian pop,2001,56
1624,Helena Gualtiero,Córdoba,Betta Kalinda,art pop,2007,56
1625,Dari Dielu,Yangon,Loree Posner,art pop,1999,56
1626,Johna Ashok,Medan,Bettine Mauer,latin,2012,56
1627,Cathyleen Ralfston,Lyon,Gretal Cristi,latin,2019,56
1628,Renie Wenoa,Guangzhou,Sean Jefferey,boy band,2002,56
1629,Maud Wandie,Dongguan,Cathie Arquit,hip pop,2008,56
1630,Arabel Faso,Durban,Barbara Voletta,pop,2003,56
1631,Ketti Howlyn,Las Palmas de Gran Canaria,Zsa Zsa Merriott,latin,2001,56
1632,Bernardine Brunell,Asunción,Helsa Bakerman,barbadian pop,2021,56
1633,Jany Voletta,São José dos Campos,Edee Diogenes,hip pop,2020,57
1634,Taffy Jarib,San Juan,Bobinette Yorick,canadian contemporary r&b,2019,57
1635,Yvonne Silvan,Vatican City,Madalyn Riordan,pop,2003,57
1636,Sandie Primalia,Doha,Rosene Fry,canadian contemporary r&b,1999,57
1637,Antonietta Kiyoshi,Charlotte Amalie,Agnese Christal,pop,2018,57
1638,Roxane Lowry,Gothenburg,Frank Hoenack,edm,2016,57
1639,Tracey Letsou,Hamilton,Sibella Billye,canadian contemporary r&b,2006,57
1640,Bertine Stephie,Auckland,Lanna Therine,hip pop,2019,57
1641,Nataline Girardo,Espoo,Trudie Katrine,big room,2007,57
1642,Lisette Gert,Hargeisa,Marika Lalitta,canadian contemporary r&b,2005,57
1643,Lyssa Klemperer,Rosario,Hettie Hertzfeld,canadian pop,2020,57
1644,Tamqrah Barney,San Juan,Rhoda Ricki,canadian pop,2001,57
1645,Mellicent Shaver,Asmara,Fredericka Dyche,dance pop,1999,57
1646,Cam Edee,Nagpur,Corene Barbey,pop,2019,57
1647,Jan Natalia,Koulikoro,Pierette Cath,british soul,2020,57
1648,Noelle Buttaro,Djibouti (city),Alyssa Tjon,dance pop,2006,57
1649,Esmeralda Arne,Albuquerque,Norine Zrike,dance pop,2003,58
1650,Leona Gibbeon,Surat Thani,Josephine Olin,canadian pop,2010,58
1651,Linet Wiener,Phuket (city),Viviene Schenck,big room,2011,58
1652,Shaine Radu,Ibiza,Frieda Prober,big room,2016,58
1653,Steffane Secrest,Bogotá,Imojean Eiser,edm,2019,58
1654,Max Dituri,Columbus,Penelopa Artie,electropop,2014,58
1655,Darci Waldron,Jamestown,Doralynne Revkah,pop,2002,58
1656,Lizzie Maisey,Lviv,Robinia Seumas,boy band,2011,58
1657,Fina Alfons,Gdansk,Caryl Taima,barbadian pop,2003,58
1658,Gerrie Grimbly,Tagbilaran,Ira Telfer,art pop,2002,58
1659,Tressa Gwenore,Porto,Tobe Fleeta,big room,2016,58
1660,Goldie Terencio,Las Vegas,Ardys Infield,edm,2021,58
1661,Madalyn Carri,Bratislava,Ninnetta Gilmour,edm,2001,58
1662,Raina Borrell,Accra,Adore Diogenes,pop,2010,58
1663,Frieda Danby,Kobe,Sheree Hoenack,boy band,2007,58
1664,Blake Rona,Ipoh,Letizia Bettine,pop,2017,59
1665,Queenie Ovid,Lomé,Lorie Cavan,hip pop,2005,59
1666,Lucy Eiser,San Antonio,Mireielle Louanna,dance pop,2001,59
1667,Caritta Newell,Surat Thani,Merle Esmaria,dance pop,2008,59
1668,Shauna Cornelia,Ciudad del Este,Tina Matthew,big room,2010,59
1669,Hettie Gino,Providence,Ricky Rolf,canadian pop,2000,59
1670,Lorenza Ciro,Santiago,Selia Land,latin,2015,59
1671,Oralee Merna,Dunedin,Nerta Zeeba,barbadian pop,2022,59
